#			lamda				  u				 g				 	  r				  i				 z
     4.230000E+03   0.000000E+00   6.775533E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.255000E+03   0.000000E+00   6.955439E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.280000E+03   0.000000E+00   7.124274E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.305000E+03   0.000000E+00   7.287573E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.330000E+03   0.000000E+00   7.448105E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.355000E+03   0.000000E+00   7.603100E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.380000E+03   0.000000E+00   7.752560E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.405000E+03   0.000000E+00   7.893717E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.430000E+03   0.000000E+00   8.023803E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.455000E+03   0.000000E+00   8.137282E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.480000E+03   0.000000E+00   8.245226E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.505000E+03   0.000000E+00   8.347634E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.530000E+03   0.000000E+00   8.455577E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.555000E+03   0.000000E+00   8.571824E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.580000E+03   0.000000E+00   8.693606E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.605000E+03   0.000000E+00   8.812621E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.630000E+03   0.000000E+00   8.923333E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.655000E+03   0.000000E+00   9.014670E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.680000E+03   0.000000E+00   9.089399E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.705000E+03   0.000000E+00   9.153059E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.730000E+03   0.000000E+00   9.208415E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.755000E+03   0.000000E+00   9.261002E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.780000E+03   0.000000E+00   9.310822E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.805000E+03   0.000000E+00   9.363410E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.830000E+03   0.000000E+00   9.418766E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.855000E+03   0.000000E+00   9.479657E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.880000E+03   0.000000E+00   9.543316E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.905000E+03   0.000000E+00   9.609743E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.930000E+03   0.000000E+00   9.673402E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.955000E+03   0.000000E+00   9.739829E-01   0.000000E+00   0.000000E+00   0.000000E+00
     4.980000E+03   0.000000E+00   9.800720E-01   0.000000E+00   0.000000E+00   0.000000E+00
     5.005000E+03   0.000000E+00   9.858844E-01   0.000000E+00   0.000000E+00   0.000000E+00
     5.030000E+03   0.000000E+00   9.911431E-01   0.000000E+00   0.000000E+00   0.000000E+00
     5.055000E+03   0.000000E+00   9.955716E-01   0.000000E+00   0.000000E+00   0.000000E+00
     5.080000E+03   0.000000E+00   9.988930E-01   0.000000E+00   0.000000E+00   0.000000E+00
     5.105000E+03   0.000000E+00   1.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     5.130000E+03   0.000000E+00   9.988930E-01   0.000000E+00   0.000000E+00   0.000000E+00
     5.155000E+03   0.000000E+00   9.950180E-01   0.000000E+00   0.000000E+00   0.000000E+00
